"dteday","season","yr","mnth","hr","holiday","weekday","workingday"
"1/3/2011","1","0","1",15,"0","1","1"
"1/3/2011","1","0","1",16,"0","1","1"
"1/3/2011","1","0","1",17,"0","1","1"
"1/3/2011","1","0","1",18,"0","1","1"
"1/3/2011","1","0","1",19,"0","1","1"
"1/3/2011","1","0","1",20,"0","1","1"
"1/3/2011","1","0","1",21,"0","1","1"
"1/3/2011","1","0","1",22,"0","1","1"
"1/3/2011","1","0","1",23,"0","1","1"
"1/4/2011","1","0","1",0,"0","2","1"
"1/4/2011","1","0","1",1,"0","2","1"
"1/4/2011","1","0","1",2,"0","2","1"
"1/4/2011","1","0","1",3,"0","2","1"
"1/4/2011","1","0","1",4,"0","2","1"
"1/4/2011","1","0","1",5,"0","2","1"
"1/4/2011","1","0","1",6,"0","2","1"
"1/4/2011","1","0","1",7,"0","2","1"
"1/4/2011","1","0","1",8,"0","2","1"
"1/4/2011","1","0","1",9,"0","2","1"
"1/4/2011","1","0","1",10,"0","2","1"
"1/4/2011","1","0","1",11,"0","2","1"
"1/4/2011","1","0","1",12,"0","2","1"
"1/4/2011","1","0","1",13,"0","2","1"
"1/4/2011","1","0","1",14,"0","2","1"
"1/4/2011","1","0","1",15,"0","2","1"
"1/4/2011","1","0","1",16,"0","2","1"
"1/4/2011","1","0","1",17,"0","2","1"
"1/4/2011","1","0","1",18,"0","2","1"
"1/4/2011","1","0","1",19,"0","2","1"
"1/4/2011","1","0","1",20,"0","2","1"
"1/4/2011","1","0","1",21,"0","2","1"
"1/4/2011","1","0","1",22,"0","2","1"
"1/4/2011","1","0","1",23,"0","2","1"
"1/5/2011","1","0","1",0,"0","3","1"
"1/5/2011","1","0","1",1,"0","3","1"
"1/5/2011","1","0","1",2,"0","3","1"
"1/5/2011","1","0","1",3,"0","3","1"
"1/5/2011","1","0","1",4,"0","3","1"
"1/5/2011","1","0","1",5,"0","3","1"
"1/5/2011","1","0","1",6,"0","3","1"
"1/5/2011","1","0","1",7,"0","3","1"
"1/5/2011","1","0","1",8,"0","3","1"
"1/5/2011","1","0","1",9,"0","3","1"
"1/5/2011","1","0","1",10,"0","3","1"
"1/5/2011","1","0","1",11,"0","3","1"
"1/5/2011","1","0","1",12,"0","3","1"
"1/5/2011","1","0","1",13,"0","3","1"
"1/5/2011","1","0","1",14,"0","3","1"
"1/5/2011","1","0","1",15,"0","3","1"
"1/5/2011","1","0","1",16,"0","3","1"
"1/5/2011","1","0","1",17,"0","3","1"
"1/5/2011","1","0","1",18,"0","3","1"
"1/5/2011","1","0","1",19,"0","3","1"
"1/5/2011","1","0","1",20,"0","3","1"
"1/5/2011","1","0","1",21,"0","3","1"
"1/5/2011","1","0","1",22,"0","3","1"
"1/5/2011","1","0","1",23,"0","3","1"
"1/6/2011","1","0","1",0,"0","4","1"
"1/6/2011","1","0","1",1,"0","4","1"
"1/6/2011","1","0","1",2,"0","4","1"
"1/6/2011","1","0","1",3,"0","4","1"
"1/6/2011","1","0","1",4,"0","4","1"
"1/6/2011","1","0","1",5,"0","4","1"
"1/6/2011","1","0","1",6,"0","4","1"
"1/6/2011","1","0","1",7,"0","4","1"
"1/6/2011","1","0","1",8,"0","4","1"
"1/6/2011","1","0","1",9,"0","4","1"
"1/6/2011","1","0","1",10,"0","4","1"
"1/6/2011","1","0","1",11,"0","4","1"
"1/6/2011","1","0","1",12,"0","4","1"
"1/6/2011","1","0","1",13,"0","4","1"
"1/6/2011","1","0","1",14,"0","4","1"
"1/6/2011","1","0","1",15,"0","4","1"
"1/6/2011","1","0","1",16,"0","4","1"
"1/6/2011","1","0","1",17,"0","4","1"
"1/6/2011","1","0","1",18,"0","4","1"
"1/6/2011","1","0","1",19,"0","4","1"
"1/6/2011","1","0","1",20,"0","4","1"
"1/6/2011","1","0","1",21,"0","4","1"
"1/6/2011","1","0","1",22,"0","4","1"
"1/6/2011","1","0","1",23,"0","4","1"
"1/7/2011","1","0","1",0,"0","5","1"
"1/7/2011","1","0","1",1,"0","5","1"
"1/7/2011","1","0","1",2,"0","5","1"
"1/7/2011","1","0","1",3,"0","5","1"
"1/7/2011","1","0","1",4,"0","5","1"
"1/7/2011","1","0","1",5,"0","5","1"
"1/7/2011","1","0","1",6,"0","5","1"
"1/7/2011","1","0","1",7,"0","5","1"
"1/7/2011","1","0","1",8,"0","5","1"
"1/7/2011","1","0","1",9,"0","5","1"
"1/7/2011","1","0","1",10,"0","5","1"
"1/7/2011","1","0","1",11,"0","5","1"
"1/7/2011","1","0","1",12,"0","5","1"
"1/7/2011","1","0","1",13,"0","5","1"
"1/7/2011","1","0","1",14,"0","5","1"
"1/7/2011","1","0","1",15,"0","5","1"
"1/7/2011","1","0","1",16,"0","5","1"
"1/7/2011","1","0","1",17,"0","5","1"
"1/7/2011","1","0","1",18,"0","5","1"
"1/7/2011","1","0","1",19,"0","5","1"
"1/7/2011","1","0","1",20,"0","5","1"
"1/7/2011","1","0","1",21,"0","5","1"
"1/7/2011","1","0","1",22,"0","5","1"
"1/7/2011","1","0","1",23,"0","5","1"
"1/8/2011","1","0","1",0,"0","6","0"
"1/8/2011","1","0","1",1,"0","6","0"
"1/8/2011","1","0","1",2,"0","6","0"
"1/8/2011","1","0","1",3,"0","6","0"
"1/8/2011","1","0","1",4,"0","6","0"
"1/8/2011","1","0","1",5,"0","6","0"
"1/8/2011","1","0","1",6,"0","6","0"
"1/8/2011","1","0","1",7,"0","6","0"
"1/8/2011","1","0","1",8,"0","6","0"
"1/8/2011","1","0","1",9,"0","6","0"
"1/8/2011","1","0","1",10,"0","6","0"
"1/8/2011","1","0","1",11,"0","6","0"
"1/8/2011","1","0","1",12,"0","6","0"
"1/8/2011","1","0","1",13,"0","6","0"
"1/8/2011","1","0","1",14,"0","6","0"
"1/8/2011","1","0","1",15,"0","6","0"
"1/8/2011","1","0","1",16,"0","6","0"
"1/8/2011","1","0","1",17,"0","6","0"
"1/8/2011","1","0","1",18,"0","6","0"
"1/8/2011","1","0","1",19,"0","6","0"
"1/8/2011","1","0","1",20,"0","6","0"
"1/8/2011","1","0","1",21,"0","6","0"
"1/8/2011","1","0","1",22,"0","6","0"
"1/8/2011","1","0","1",23,"0","6","0"
"1/9/2011","1","0","1",0,"0","0","0"
"1/9/2011","1","0","1",1,"0","0","0"
"1/9/2011","1","0","1",2,"0","0","0"
"1/9/2011","1","0","1",3,"0","0","0"
"1/9/2011","1","0","1",4,"0","0","0"
"1/9/2011","1","0","1",5,"0","0","0"
"1/9/2011","1","0","1",6,"0","0","0"
"1/9/2011","1","0","1",7,"0","0","0"
"1/9/2011","1","0","1",8,"0","0","0"
"1/9/2011","1","0","1",9,"0","0","0"
"1/9/2011","1","0","1",10,"0","0","0"
"1/9/2011","1","0","1",11,"0","0","0"
"1/9/2011","1","0","1",12,"0","0","0"
"1/9/2011","1","0","1",13,"0","0","0"
"1/9/2011","1","0","1",14,"0","0","0"
"1/9/2011","1","0","1",15,"0","0","0"
"1/9/2011","1","0","1",16,"0","0","0"
"1/9/2011","1","0","1",17,"0","0","0"
"1/9/2011","1","0","1",18,"0","0","0"
"1/9/2011","1","0","1",19,"0","0","0"
"1/9/2011","1","0","1",20,"0","0","0"
"1/9/2011","1","0","1",21,"0","0","0"
"1/9/2011","1","0","1",22,"0","0","0"
"1/9/2011","1","0","1",23,"0","0","0"
"1/10/2011","1","0","1",0,"0","1","1"
"1/10/2011","1","0","1",1,"0","1","1"
"1/10/2011","1","0","1",2,"0","1","1"
"1/10/2011","1","0","1",3,"0","1","1"
"1/10/2011","1","0","1",4,"0","1","1"
"1/10/2011","1","0","1",5,"0","1","1"
"1/10/2011","1","0","1",6,"0","1","1"
"1/10/2011","1","0","1",7,"0","1","1"
"1/10/2011","1","0","1",8,"0","1","1"
"1/10/2011","1","0","1",9,"0","1","1"
"1/10/2011","1","0","1",10,"0","1","1"
"1/10/2011","1","0","1",11,"0","1","1"
"1/10/2011","1","0","1",12,"0","1","1"
"1/10/2011","1","0","1",13,"0","1","1"
"1/10/2011","1","0","1",14,"0","1","1"
"1/10/2011","1","0","1",15,"0","1","1"
"1/10/2011","1","0","1",16,"0","1","1"
"1/10/2011","1","0","1",17,"0","1","1"
"1/10/2011","1","0","1",18,"0","1","1"
"1/10/2011","1","0","1",19,"0","1","1"
"1/10/2011","1","0","1",20,"0","1","1"
"1/10/2011","1","0","1",21,"0","1","1"
"1/10/2011","1","0","1",22,"0","1","1"
"1/10/2011","1","0","1",23,"0","1","1"
"1/11/2011","1","0","1",0,"0","2","1"
"1/11/2011","1","0","1",1,"0","2","1"
"1/11/2011","1","0","1",2,"0","2","1"
"1/11/2011","1","0","1",3,"0","2","1"
"1/11/2011","1","0","1",4,"0","2","1"
"1/11/2011","1","0","1",5,"0","2","1"
"1/11/2011","1","0","1",6,"0","2","1"
"1/11/2011","1","0","1",7,"0","2","1"
"1/11/2011","1","0","1",8,"0","2","1"
"1/11/2011","1","0","1",9,"0","2","1"
"1/11/2011","1","0","1",10,"0","2","1"
"1/11/2011","1","0","1",11,"0","2","1"
"1/11/2011","1","0","1",12,"0","2","1"
"1/11/2011","1","0","1",13,"0","2","1"
"1/11/2011","1","0","1",14,"0","2","1"
"1/11/2011","1","0","1",15,"0","2","1"
"1/11/2011","1","0","1",16,"0","2","1"
"1/11/2011","1","0","1",17,"0","2","1"
"1/11/2011","1","0","1",18,"0","2","1"
"1/11/2011","1","0","1",19,"0","2","1"
"1/11/2011","1","0","1",20,"0","2","1"
"1/11/2011","1","0","1",21,"0","2","1"
"1/11/2011","1","0","1",22,"0","2","1"
"1/11/2011","1","0","1",23,"0","2","1"
"1/12/2011","1","0","1",0,"0","3","1"
"1/12/2011","1","0","1",1,"0","3","1"
"1/12/2011","1","0","1",2,"0","3","1"
"1/12/2011","1","0","1",3,"0","3","1"
"1/12/2011","1","0","1",4,"0","3","1"
"1/12/2011","1","0","1",5,"0","3","1"
"1/12/2011","1","0","1",6,"0","3","1"
"1/12/2011","1","0","1",7,"0","3","1"
"1/12/2011","1","0","1",8,"0","3","1"
"1/12/2011","1","0","1",9,"0","3","1"
"1/12/2011","1","0","1",10,"0","3","1"
"1/12/2011","1","0","1",11,"0","3","1"
"1/12/2011","1","0","1",12,"0","3","1"
"1/12/2011","1","0","1",13,"0","3","1"
"1/12/2011","1","0","1",14,"0","3","1"
"1/12/2011","1","0","1",15,"0","3","1"
"1/12/2011","1","0","1",16,"0","3","1"
"1/12/2011","1","0","1",17,"0","3","1"
"1/12/2011","1","0","1",18,"0","3","1"
"1/12/2011","1","0","1",19,"0","3","1"
"1/12/2011","1","0","1",20,"0","3","1"
"1/12/2011","1","0","1",21,"0","3","1"
"1/12/2011","1","0","1",22,"0","3","1"
"1/12/2011","1","0","1",23,"0","3","1"
"1/13/2011","1","0","1",0,"0","4","1"
"1/13/2011","1","0","1",1,"0","4","1"
"1/13/2011","1","0","1",2,"0","4","1"
"1/13/2011","1","0","1",3,"0","4","1"
"1/13/2011","1","0","1",4,"0","4","1"
"1/13/2011","1","0","1",5,"0","4","1"
"1/13/2011","1","0","1",6,"0","4","1"
"1/13/2011","1","0","1",7,"0","4","1"
"1/13/2011","1","0","1",8,"0","4","1"
"1/13/2011","1","0","1",9,"0","4","1"
"1/13/2011","1","0","1",10,"0","4","1"
"1/13/2011","1","0","1",11,"0","4","1"
"1/13/2011","1","0","1",12,"0","4","1"
"1/13/2011","1","0","1",13,"0","4","1"
"1/13/2011","1","0","1",14,"0","4","1"
"1/13/2011","1","0","1",15,"0","4","1"
"1/13/2011","1","0","1",16,"0","4","1"
"1/13/2011","1","0","1",17,"0","4","1"
"1/13/2011","1","0","1",18,"0","4","1"
"1/13/2011","1","0","1",19,"0","4","1"
"1/13/2011","1","0","1",20,"0","4","1"
"1/13/2011","1","0","1",21,"0","4","1"
"1/13/2011","1","0","1",22,"0","4","1"
"1/13/2011","1","0","1",23,"0","4","1"
"1/14/2011","1","0","1",0,"0","5","1"
"1/14/2011","1","0","1",1,"0","5","1"
"1/14/2011","1","0","1",2,"0","5","1"
"1/14/2011","1","0","1",3,"0","5","1"
"1/14/2011","1","0","1",4,"0","5","1"
"1/14/2011","1","0","1",5,"0","5","1"
"1/14/2011","1","0","1",6,"0","5","1"
"1/14/2011","1","0","1",7,"0","5","1"
"1/14/2011","1","0","1",8,"0","5","1"
"1/14/2011","1","0","1",9,"0","5","1"
"1/14/2011","1","0","1",10,"0","5","1"
"1/14/2011","1","0","1",11,"0","5","1"
"1/14/2011","1","0","1",12,"0","5","1"
"1/14/2011","1","0","1",13,"0","5","1"
"1/14/2011","1","0","1",14,"0","5","1"
"1/14/2011","1","0","1",15,"0","5","1"
"1/14/2011","1","0","1",16,"0","5","1"
"1/14/2011","1","0","1",17,"0","5","1"
"1/14/2011","1","0","1",18,"0","5","1"
"1/14/2011","1","0","1",19,"0","5","1"
"1/14/2011","1","0","1",20,"0","5","1"
"1/14/2011","1","0","1",21,"0","5","1"
"1/14/2011","1","0","1",22,"0","5","1"
"1/14/2011","1","0","1",23,"0","5","1"
"1/15/2011","1","0","1",0,"0","6","0"
"1/15/2011","1","0","1",1,"0","6","0"
"1/15/2011","1","0","1",2,"0","6","0"
"1/15/2011","1","0","1",3,"0","6","0"
"1/15/2011","1","0","1",4,"0","6","0"
"1/15/2011","1","0","1",5,"0","6","0"
"1/15/2011","1","0","1",6,"0","6","0"
"1/15/2011","1","0","1",7,"0","6","0"
"1/15/2011","1","0","1",8,"0","6","0"
"1/15/2011","1","0","1",9,"0","6","0"
"1/15/2011","1","0","1",10,"0","6","0"
"1/15/2011","1","0","1",11,"0","6","0"
"1/15/2011","1","0","1",12,"0","6","0"
"1/15/2011","1","0","1",13,"0","6","0"
"1/15/2011","1","0","1",14,"0","6","0"
"1/15/2011","1","0","1",15,"0","6","0"
"1/15/2011","1","0","1",16,"0","6","0"
"1/15/2011","1","0","1",17,"0","6","0"
"1/15/2011","1","0","1",18,"0","6","0"
"1/15/2011","1","0","1",19,"0","6","0"
"1/15/2011","1","0","1",20,"0","6","0"
"1/15/2011","1","0","1",21,"0","6","0"
"1/15/2011","1","0","1",22,"0","6","0"
"1/15/2011","1","0","1",23,"0","6","0"
"1/16/2011","1","0","1",0,"0","0","0"
"1/16/2011","1","0","1",1,"0","0","0"
"1/16/2011","1","0","1",2,"0","0","0"
"1/16/2011","1","0","1",3,"0","0","0"
"1/16/2011","1","0","1",4,"0","0","0"
"1/16/2011","1","0","1",5,"0","0","0"
"1/16/2011","1","0","1",6,"0","0","0"
"1/16/2011","1","0","1",7,"0","0","0"
"1/16/2011","1","0","1",8,"0","0","0"
"1/16/2011","1","0","1",9,"0","0","0"
"1/16/2011","1","0","1",10,"0","0","0"
"1/16/2011","1","0","1",11,"0","0","0"
"1/16/2011","1","0","1",12,"0","0","0"
"1/16/2011","1","0","1",13,"0","0","0"
"1/16/2011","1","0","1",14,"0","0","0"
"1/16/2011","1","0","1",15,"0","0","0"
"1/16/2011","1","0","1",16,"0","0","0"
"1/16/2011","1","0","1",17,"0","0","0"
"1/16/2011","1","0","1",18,"0","0","0"
"1/16/2011","1","0","1",19,"0","0","0"
"1/16/2011","1","0","1",20,"0","0","0"
"1/16/2011","1","0","1",21,"0","0","0"
"1/16/2011","1","0","1",22,"0","0","0"
"1/16/2011","1","0","1",23,"0","0","0"
"1/17/2011","1","0","1",0,"1","1","0"
"1/17/2011","1","0","1",1,"1","1","0"
"1/17/2011","1","0","1",2,"1","1","0"
"1/17/2011","1","0","1",3,"1","1","0"
"1/17/2011","1","0","1",4,"1","1","0"
"1/17/2011","1","0","1",5,"1","1","0"
"1/17/2011","1","0","1",6,"1","1","0"
"1/17/2011","1","0","1",7,"1","1","0"
"1/17/2011","1","0","1",8,"1","1","0"
"1/17/2011","1","0","1",9,"1","1","0"
"1/17/2011","1","0","1",10,"1","1","0"
"1/17/2011","1","0","1",11,"1","1","0"
"1/17/2011","1","0","1",12,"1","1","0"
"1/17/2011","1","0","1",13,"1","1","0"
"1/17/2011","1","0","1",14,"1","1","0"
"1/17/2011","1","0","1",15,"1","1","0"
"1/17/2011","1","0","1",16,"1","1","0"
"1/17/2011","1","0","1",17,"1","1","0"
"1/17/2011","1","0","1",18,"1","1","0"
"1/17/2011","1","0","1",19,"1","1","0"
"1/17/2011","1","0","1",20,"1","1","0"
"1/17/2011","1","0","1",21,"1","1","0"
"1/17/2011","1","0","1",22,"1","1","0"
"1/17/2011","1","0","1",23,"1","1","0"
"1/18/2011","1","0","1",0,"0","2","1"
"1/18/2011","1","0","1",1,"0","2","1"
"1/18/2011","1","0","1",2,"0","2","1"
"1/18/2011","1","0","1",3,"0","2","1"
"1/18/2011","1","0","1",4,"0","2","1"
"1/18/2011","1","0","1",5,"0","2","1"
"1/18/2011","1","0","1",6,"0","2","1"
"1/18/2011","1","0","1",7,"0","2","1"
"1/18/2011","1","0","1",8,"0","2","1"
"1/18/2011","1","0","1",9,"0","2","1"
"1/18/2011","1","0","1",10,"0","2","1"
"1/18/2011","1","0","1",11,"0","2","1"
"1/18/2011","1","0","1",12,"0","2","1"
"1/18/2011","1","0","1",13,"0","2","1"
"1/18/2011","1","0","1",14,"0","2","1"
"1/18/2011","1","0","1",15,"0","2","1"
"1/18/2011","1","0","1",16,"0","2","1"
"1/18/2011","1","0","1",17,"0","2","1"
"1/18/2011","1","0","1",18,"0","2","1"
"1/18/2011","1","0","1",19,"0","2","1"
"1/18/2011","1","0","1",20,"0","2","1"
"1/18/2011","1","0","1",21,"0","2","1"
"1/18/2011","1","0","1",22,"0","2","1"
"1/18/2011","1","0","1",23,"0","2","1"
"1/19/2011","1","0","1",0,"0","3","1"
"1/19/2011","1","0","1",1,"0","3","1"
"1/19/2011","1","0","1",2,"0","3","1"
"1/19/2011","1","0","1",3,"0","3","1"
"1/19/2011","1","0","1",4,"0","3","1"
"1/19/2011","1","0","1",5,"0","3","1"
"1/19/2011","1","0","1",6,"0","3","1"
"1/19/2011","1","0","1",7,"0","3","1"
"1/19/2011","1","0","1",8,"0","3","1"
"1/19/2011","1","0","1",9,"0","3","1"
"1/19/2011","1","0","1",10,"0","3","1"
"1/19/2011","1","0","1",11,"0","3","1"
"1/19/2011","1","0","1",12,"0","3","1"
"1/19/2011","1","0","1",13,"0","3","1"
"1/19/2011","1","0","1",14,"0","3","1"
"1/19/2011","1","0","1",15,"0","3","1"
"1/19/2011","1","0","1",16,"0","3","1"
"1/19/2011","1","0","1",17,"0","3","1"
"1/19/2011","1","0","1",18,"0","3","1"
"1/19/2011","1","0","1",19,"0","3","1"
"1/19/2011","1","0","1",20,"0","3","1"
"1/19/2011","1","0","1",21,"0","3","1"
"1/19/2011","1","0","1",22,"0","3","1"
"1/19/2011","1","0","1",23,"0","3","1"
"1/20/2011","1","0","1",0,"0","4","1"
"1/20/2011","1","0","1",1,"0","4","1"
"1/20/2011","1","0","1",2,"0","4","1"
"1/20/2011","1","0","1",3,"0","4","1"
"1/20/2011","1","0","1",4,"0","4","1"
"1/20/2011","1","0","1",5,"0","4","1"
"1/20/2011","1","0","1",6,"0","4","1"
"1/20/2011","1","0","1",7,"0","4","1"
"1/20/2011","1","0","1",8,"0","4","1"
"1/20/2011","1","0","1",9,"0","4","1"
"1/20/2011","1","0","1",10,"0","4","1"
"1/20/2011","1","0","1",11,"0","4","1"
"1/20/2011","1","0","1",12,"0","4","1"
"1/20/2011","1","0","1",13,"0","4","1"
"1/20/2011","1","0","1",14,"0","4","1"
"1/20/2011","1","0","1",15,"0","4","1"
"1/20/2011","1","0","1",16,"0","4","1"
"1/20/2011","1","0","1",17,"0","4","1"
"1/20/2011","1","0","1",18,"0","4","1"
"1/20/2011","1","0","1",19,"0","4","1"
"1/20/2011","1","0","1",20,"0","4","1"
"1/20/2011","1","0","1",21,"0","4","1"
"1/20/2011","1","0","1",22,"0","4","1"
"1/20/2011","1","0","1",23,"0","4","1"
"1/21/2011","1","0","1",0,"0","5","1"
"1/21/2011","1","0","1",1,"0","5","1"
"1/21/2011","1","0","1",2,"0","5","1"
"1/21/2011","1","0","1",3,"0","5","1"
"1/21/2011","1","0","1",4,"0","5","1"
"1/21/2011","1","0","1",5,"0","5","1"
"1/21/2011","1","0","1",6,"0","5","1"
"1/21/2011","1","0","1",7,"0","5","1"
"1/21/2011","1","0","1",8,"0","5","1"
"1/21/2011","1","0","1",9,"0","5","1"
"1/21/2011","1","0","1",10,"0","5","1"
"1/21/2011","1","0","1",11,"0","5","1"
"1/21/2011","1","0","1",12,"0","5","1"
"1/21/2011","1","0","1",13,"0","5","1"
"1/21/2011","1","0","1",14,"0","5","1"
"1/21/2011","1","0","1",15,"0","5","1"
"1/21/2011","1","0","1",16,"0","5","1"
"1/21/2011","1","0","1",17,"0","5","1"
"1/21/2011","1","0","1",18,"0","5","1"
"1/21/2011","1","0","1",19,"0","5","1"
"1/21/2011","1","0","1",20,"0","5","1"
"1/21/2011","1","0","1",21,"0","5","1"
"1/21/2011","1","0","1",22,"0","5","1"
"1/21/2011","1","0","1",23,"0","5","1"
"1/22/2011","1","0","1",0,"0","6","0"
"1/22/2011","1","0","1",1,"0","6","0"
"1/22/2011","1","0","1",2,"0","6","0"
"1/22/2011","1","0","1",3,"0","6","0"
"1/22/2011","1","0","1",4,"0","6","0"
"1/22/2011","1","0","1",5,"0","6","0"
"1/22/2011","1","0","1",6,"0","6","0"
"1/22/2011","1","0","1",7,"0","6","0"
"1/22/2011","1","0","1",8,"0","6","0"
"1/22/2011","1","0","1",9,"0","6","0"
"1/22/2011","1","0","1",10,"0","6","0"
"1/22/2011","1","0","1",11,"0","6","0"
"1/22/2011","1","0","1",12,"0","6","0"
"1/22/2011","1","0","1",13,"0","6","0"
"1/22/2011","1","0","1",14,"0","6","0"
"1/22/2011","1","0","1",15,"0","6","0"
"1/22/2011","1","0","1",16,"0","6","0"
"1/22/2011","1","0","1",17,"0","6","0"
"1/22/2011","1","0","1",18,"0","6","0"
"1/22/2011","1","0","1",19,"0","6","0"
"1/22/2011","1","0","1",20,"0","6","0"
"1/22/2011","1","0","1",21,"0","6","0"
"1/22/2011","1","0","1",22,"0","6","0"
"1/22/2011","1","0","1",23,"0","6","0"
"1/23/2011","1","0","1",0,"0","0","0"
"1/23/2011","1","0","1",1,"0","0","0"
"1/23/2011","1","0","1",2,"0","0","0"
"1/23/2011","1","0","1",3,"0","0","0"
"1/23/2011","1","0","1",4,"0","0","0"
"1/23/2011","1","0","1",5,"0","0","0"
"1/23/2011","1","0","1",6,"0","0","0"
"1/23/2011","1","0","1",7,"0","0","0"
"1/23/2011","1","0","1",8,"0","0","0"
"1/23/2011","1","0","1",9,"0","0","0"
"1/23/2011","1","0","1",10,"0","0","0"
"1/23/2011","1","0","1",11,"0","0","0"
"1/23/2011","1","0","1",12,"0","0","0"
"1/23/2011","1","0","1",13,"0","0","0"
"1/23/2011","1","0","1",14,"0","0","0"
"1/23/2011","1","0","1",15,"0","0","0"
"1/23/2011","1","0","1",16,"0","0","0"
"1/23/2011","1","0","1",17,"0","0","0"
"1/23/2011","1","0","1",18,"0","0","0"
"1/23/2011","1","0","1",19,"0","0","0"
"1/23/2011","1","0","1",20,"0","0","0"
"1/23/2011","1","0","1",21,"0","0","0"
"1/23/2011","1","0","1",22,"0","0","0"
"1/23/2011","1","0","1",23,"0","0","0"
"1/24/2011","1","0","1",0,"0","1","1"
"1/24/2011","1","0","1",1,"0","1","1"
"1/24/2011","1","0","1",2,"0","1","1"
"1/24/2011","1","0","1",3,"0","1","1"
"1/24/2011","1","0","1",4,"0","1","1"
"1/24/2011","1","0","1",5,"0","1","1"
"1/24/2011","1","0","1",6,"0","1","1"
"1/24/2011","1","0","1",7,"0","1","1"
"1/24/2011","1","0","1",8,"0","1","1"
"1/24/2011","1","0","1",9,"0","1","1"
"1/24/2011","1","0","1",10,"0","1","1"
"1/24/2011","1","0","1",11,"0","1","1"
"1/24/2011","1","0","1",12,"0","1","1"
"1/24/2011","1","0","1",13,"0","1","1"
"1/24/2011","1","0","1",14,"0","1","1"
"1/24/2011","1","0","1",15,"0","1","1"
"1/24/2011","1","0","1",16,"0","1","1"
"1/24/2011","1","0","1",17,"0","1","1"
"1/24/2011","1","0","1",18,"0","1","1"
"1/24/2011","1","0","1",19,"0","1","1"
"1/24/2011","1","0","1",20,"0","1","1"
"1/24/2011","1","0","1",21,"0","1","1"
"1/24/2011","1","0","1",22,"0","1","1"
"1/24/2011","1","0","1",23,"0","1","1"
"1/25/2011","1","0","1",0,"0","2","1"
"1/25/2011","1","0","1",1,"0","2","1"
"1/25/2011","1","0","1",2,"0","2","1"
"1/25/2011","1","0","1",3,"0","2","1"
